BANK,IFSC,BRANCH,ADDRESS,PHONE
ABHYUDAYA COOPERATIVE BANK LIMITED,,MANGALORE,"SHOP NO. 4, JANVI PLAZA, NEAR BUNTS HOSTEL, KARANGLAPADY, MANGALORE-575003",2423067
THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK,ADCC0000001,RTGS-HO,"THE AKOLA DISTRICT CENTRAL COOP. BANK LTD., P.B.NO. 8, CIVIL LINES, S.A. COLLEGE ROAD, AKOLA. 444001",2415105
AMBARNATH JAIHIND COOP BANK LTD AMBARNATH,AJHC0001018,NERAL BRANCH,"SHOP NO.4 TO 7,ASHIRWAD BUILDING,MATHERAN ROAD,LOKMANYA TILAK CHOWK,NERAL,TALUKA KARJAT DIST-410101",238788
AMBARNATH JAIHIND COOP BANK LTD AMBARNATH,AJHC0001099,KOHOJGAON BRANCH,SHOP.NO.3 4 5 6 SINGH PARADISE HIMALAYA BUILDING KOHOJGAON,2684370
THE A.P. MAHESH COOPERATIVE URBAN BANK LIMITED,APMC0000909,KARIMNAGAR,"D.NO.4-5-488,GROUND FLOOR,VALMIKI NAGAR,NEAR RAJIV GANDHI CHOWK,KARIMNAGAR-505001",2242266
ARVIND SAHAKARI BANK LTD,ARBL0000002,KATOL,"MAIN ROAD KATOL, TAH-KATOL, DIST-NAGPUR",222710
ARVIND SAHAKARI BANK LTD,ARBL0000003,DIGDOH,"HOUSE NO.512, RADKE LAYOUT, DIGDOH, TAH-HINGNA, DIST-NAGPUR",235830
ARVIND SAHAKARI BANK LTD,,SAONER,"HOUSE NO.42 AWADHUT WADI, CIVIL LINES, SAONER, TAH-SAONER, DIST- NAGPUR",234451
ARVIND SAHAKARI BANK LTD,ARBL0000005,GANDHIBAG,"C.A. ROAD, GANDHIBAG, NEAR ADARSH VIDYA MANDIR, NAGPUR",222714
ARVIND SAHAKARI BANK LTD,ARBL0000006,WARUD,"APPROACH ROAD BEHIND KATHIWALE COMLEX WARUD, DIST-AMRAVATI",234141
ARVIND SAHAKARI BANK LTD,ARBL0000007,AMRAVATI,"SIDDHARTH COMPLEX, OPP. RAJAPETH POLICE STATION, BADNERA ROAD, AMRAVATI",2567656
APNA SAHAKARI BANK LIMITED,,RTGS-HO,"APNA BANK BHAVAN, DR.S.SRAO ROAD,PAREL, MUMBAI 400012.",24110149
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065001,RTGS-HO,"Abhyudaya Building, Kamal Nath Marg,Nehru Nagar, KURLA - EAST,MUMBAI-400024",9653261383
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065002,ABHYUDAYA NAGAR,"ABHYUDAYA EDUCATION SOCIETY, OPP. BLDG. NO. 18, ABHYUDAYA NAGAR, KALACHOWKY, MUMBAI - 400033",24702643
STATE BANK OF INDIA,SBIN0010644,ITPO,"PRAGATI MAIDAN, NEW DELHI PIN 110001",345678678
ICICI BANK LIMITED,,DELHI HARGOBIND ENCLAVE,"ICICI Bank Ltd., 132, Hargovind Enclave New Delhi.110092",435678
,,,,
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000077,KARJULE HARYA,POST KARJULE HARYA TAL PARNER 414304,286342
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000078,KASHTI,POST KASHTI TAL SHRIGONDA 414701,231538
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000079,KAUDGAON,POST KAUDGAON TAL NAGAR,2625513
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000080,KEDGAON,POST KEDGAON TAL NAGAR 414005,2416519
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000081,KHARDGAON,POST KHARDGAON TAL SHEVGAON 414502,251112
THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD,AHDC0000082,KHARDA,POST KHARDA TAL JAMKHED 413204,240228
